"Obs. Date","Obs. value","Series key","Indicator title","Units","Obs. status"
"2006-08","76.54","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-09","86.33","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-10","90.77","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-11","83.70","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-12","84.94","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-01","103.19","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-02","88.95","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-03","102.65","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-04","88.99","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-05","98.70","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-06","95.06","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-07","103.04","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-08","79.14","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-09","88.60","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-10","93.77","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-11","86.38","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2007-12","79.34","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-01","99.62","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2014-06","64.36","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-07","74.12","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-08","57.43","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-09","61.24","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-10","65.54","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-11","57.15","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-12","61.26","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-06","18.05","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2014-07","19.04","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2014-08","15.96","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2014-09","14.75","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2014-10","15.12","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2014-11","13.88","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2014-12","14.11","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-01","14.76","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-02","13.08","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-03","12.04","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-04","11.99","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-05","11.69","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-06","12.30","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-07","12.27","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-08","10.46","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-09","12.15","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-10","13.70","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-11","13.59","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2015-12","15.16","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2016-01","15.48","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2016-02","15.87","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2016-03","13.55","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2014-11","7.65","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2014-12","8.11","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2015-01","12.51","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2015-02","7.25","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2015-03","6.35","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2015-04","6.16","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2015-05","5.05","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2015-06","5.87","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2015-07","5.93","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-03","2.85","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-04","2.72","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2010-11","1.56","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-12","2.16","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2011-01","1.75","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2008-02","88.76","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-03","79.30","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-04","94.87","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-05","91.09","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-06","83.69","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-07","107.99","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-08","74.66","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-09","93.08","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-10","109.69","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-11","89.29","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2008-12","89.49","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2009-01","83.99","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2009-02","79.14","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2009-03","74.30","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2009-04","66.77","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2009-05","56.23","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2009-06","59.38","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
